Ra,Rh,La,Lh,Ma,Mh,Ia,Ih,Oa,Oh,Qa,Qh
65.43463157894739,76.23079551667578,61.90385281385282,66.31071327683618,62.48959459459462,67.78122038917091,64.36145899554992,67.66201877934273,55.727094594594604,70.19135338345866,67.14197802197805,69.2635109060403
69.54949037679589,73.8502886247878,74.20055555555557,79.72175813008131,70.94503652369359,82.96622596153847,73.42698349133707,66.71884615384616,69.24718283582091,63.48579259936048,72.13529411764708,73.96157142857145
59.12046240601504,55.930772946859946,64.96601139601141,67.4907142857143,65.46166666666669,65.40500000000003,61.894813915857625,58.37555555555559,62.61911501120238,60.1401550387597,72.33012645914398,77.00171568627452
74.39875784753364,79.29978260869568,74.0866091954023,57.73432126696834,80.23199581589961,69.33593406593407,66.49094594594598,70.58556338028171,69.22650070267015,67.25557116104869,72.4053921962993,74.67254518072292
70.27326086956523,72.60049369290999,52.39568421052634,64.74029411764707,66.30911509073545,65.4279411764706,62.90833333333333,59.95720338983054,64.26835202492214,59.997071428571445,61.482500000000016,72.72912408759125
68.68205927106735,71.47198441558443,69.74778602166494,74.34805429864255,75.73149396058487,75.11987179487181,64.0516666666667,63.71403306537239,70.38122760451229,65.23801136363639,70.74680937818553,82.39241379310344
54.25127335243553,67.18690476190478,57.047181818181826,59.24875,55.01965053763442,53.92350000000002,57.94499999999999,59.62107142857147,58.429231418918945,62.56953662842015,47.54261198371148,56.77013888888891
67.30883293092589,68.19707792207794,70.38039134662132,54.72789947974732,64.19473448089957,69.28802477183834,62.48866666666669,63.98121508062685,62.79807388958076,62.875357142857155,56.75417422867514,68.9825
62.44089873417721,70.28370635184574,60.60305690492716,63.228908045977036,55.03139585643015,51.639226190476194,55.709530744336575,64.27766666666669,63.91188405797104,62.17037815126051,37.260959595959605,56.40030940594062
71.64058462374356,75.6262139721321,77.0477168813018,72.01586363636366,67.30359628770303,66.26274900398408,65.4136666666667,74.618895807389,58.9708823529412,58.0553424130502,68.45860984848484,69.45625000000003
57.07222375199859,62.03189147203773,66.94712244897961,68.01647959183674,66.881933942226,63.95875000000001,52.92409542070834,59.8579356357928,57.20390408754429,60.72500000000001,60.32519494204428,64.14849624060152
50.568157671876236,62.92594874371859,67.60260056228375,62.05793918918923,56.15855002966188,57.42115384615386,61.05363015776703,59.617543859649146,59.986188909774455,58.679728479485135,52.593353658536614,68.67365306122448
59.20648148148149,66.99389676113361,67.57086367634126,50.78776560926488,53.18601231190152,61.23356378233723,52.52294554455446,59.09860465116279,61.2909483667018,65.48462162162166,52.35362708719853,60.68136363636364
58.69459090909095,61.695791564291596,65.94385819521179,60.53249813849591,64.57086703607479,64.73600000000002,60.48136439647311,56.8235164835165,58.26904796041072,61.72546296296298,65.16885746606337,76.23725571725575
58.13861935028251,48.439506286982265,43.67821428571432,39.644848901098925,60.64294117647063,42.71433333333337,57.228344155844184,56.27647590361448,48.002500000000026,51.7623076923077,47.18782945736439,48.84509756097566
57.14082352941179,54.338477611940306,74.29569734004316,70.19575163398694,65.8011526946108,64.85201754385966,53.610844897959225,60.89945754716982,59.471539351851874,63.50927860696518,66.68042865362486,68.12409090909092
55.964629080118726,58.53976251604621,68.5484957627119,73.20278846153847,70.54350000000001,60.06799083269675,65.07735941953874,66.43126582278484,62.53333333333336,60.19251131221722,70.65790709290711,66.6039285714286
55.40876218323589,55.34361111111113,65.08079831932774,69.27702508960574,63.369119485294135,63.03149732620324,64.94210661382537,62.786225849433734,60.296920289855066,50.06260841836735,68.41297297297298,61.81320652173915
37.24825822423634,46.56539393939394,59.80337936046513,62.44681818181823,51.55534798994975,61.27469879518074,51.87193607601773,44.35432911392408,50.35014662756598,60.28452408256882,55.97353174603177,65.33492647058827
44.657299270073025,42.34200000000001,48.38189839572195,51.32980392156864,48.36304347826089,52.750763536379054,45.82994134624337,48.73490526315791,42.52288414634148,50.576035598705516,46.76538442762998,52.251983471074425
59.60605021921086,60.96677814569537,49.20366666666666,57.19607692307696,60.71240853658537,65.2096590909091,65.7949042675894,55.30990243902441,57.348106060606085,54.407608695652186,55.2578123868164,46.937142857142874
63.235137149672056,64.35895140363297,61.19553846153846,71.44668918918921,66.00670000000002,61.88597879684423,67.70573529411766,63.55552564102567,59.358400802058156,54.4321739130435,63.852192513369005,69.46163654618478
47.46705014058108,54.9339411764706,50.20739495798321,55.20431192660553,47.77658302818466,50.881913875598116,50.77155459146783,54.31198838495578,49.709257338056716,53.52695890410962,42.1509553349876,58.24223597359736
63.58490744845935,66.63310661764707,61.42593892593894,79.66557692307696,58.419698544698576,69.83923076923078,58.78923256492561,78.86766069546893,58.39328828828832,66.93462809917358,57.53092059838896,64.85325000000002
63.41911764705884,67.1679725746508,75.1536363636364,74.50432692307693,72.96079707062115,74.09163194444444,66.81964041095894,65.79539888682747,55.192058823529436,67.99350122850123,68.18615384615386,67.6461012658228
72.91669565217393,67.34716237113403,62.241132614213214,71.38250000000004,63.418432190299654,68.64875,63.47358582677167,68.04893970420933,58.55446626106196,63.09174657534248,61.09334997064005,72.66824329983253
