To,Tn
0.5061206221580505,0.5751209855079651
0.5731683969497681,0.5249649286270142
0.551158607006073,0.5535206198692322
0.5411067008972168,0.5615397691726685
0.5310900211334229,0.5573847889900208
0.5554786920547485,0.5349962115287781
0.5384183526039124,0.594464898109436
0.526214063167572,0.5815014243125916
0.5286330580711365,0.6174721121788025
0.5354332327842712,0.5658593773841858
0.5104998350143433,0.6344603896141052
0.5593379139900208,0.5579082369804382
0.5220995545387268,0.6966040730476379
0.4919045567512512,0.5811604261398315
0.48945683240890503,0.6101378202438354
0.4895237684249878,0.5454321503639221
0.5090173482894897,0.5641108751296997
0.548551082611084,0.5415193438529968
0.51787269115448,0.5453461408615112
0.5488297343254089,0.5558032989501953
0.5213829874992371,0.5560244917869568
0.5263867974281311,0.5371782183647156
0.5116053223609924,0.570264458656311
0.5433956384658813,0.567887544631958
0.49246540665626526,0.5557963848114014
0.4963028132915497,0.5333722233772278
0.4871605336666107,0.5630354285240173
0.5089496970176697,0.5335147380828857
0.4944370985031128,0.5446280241012573
0.5329625606536865,0.5370079874992371
0.514067530632019,0.5646093487739563
0.5800741910934448,0.5744029879570007
0.48662349581718445,0.5590991377830505
0.5412770509719849,0.5238863229751587
0.5212594866752625,0.5196580290794373
0.5544496178627014,0.5512354969978333
0.5304809212684631,0.549660861492157
0.4868038296699524,0.6059843897819519
0.5389925241470337,0.5403991937637329
0.4873075485229492,0.6074645519256592
0.5237343311309814,0.544102132320404
0.4900349974632263,0.5183162689208984
0.5181398391723633,0.5540023446083069
0.8266105651855469,0.611652135848999
0.5288133025169373,0.5337055921554565
0.5010243058204651,0.5866042375564575
0.4872167706489563,0.5729560852050781
0.5291650295257568,0.554355263710022
0.5345329642295837,0.5301893353462219
0.5340016484260559,0.6031428575515747
